class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
bisa dimakan,datar,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,putih,merah muda,parsial,putih,satu,menjuntai,coklat,soliter,hutan
beracun,lonceng,halus,putih,memar,tidak ada,bebas,rapat,lebar,abu-abu,membesar,berumbi,halus,halus,putih,putih,parsial,putih,dua,menjuntai,hijau,beberapa,padang rumput
bisa dimakan,datar,bersisik,merah muda,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,merah,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,cembung,halus,putih,memar,busuk,bebas,rapat,lebar,merah muda,meruncing,berumbi,berserat,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,rumput
bisa dimakan,bertonjol,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,putih,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,halus,krem,memar,busuk,bebas,rapat,lebar,coklat tua,meruncing,berumbi,berserat,halus,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,perkotaan
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
bisa dimakan,bertonjol,halus,merah,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,merah,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah,membesar,tidak diketahui,halus,halus,merah,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
bisa dimakan,datar,halus,krem,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,merah,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
bisa dimakan,datar,berserat,abu-abu,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,merah muda,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,halus,abu-abu,memar,busuk,bebas,rapat,lebar,merah muda,meruncing,berumbi,berserat,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,rumput
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,cembung,bersisik,coklat,tidak,busuk,bebas,rapat,sempit,krem,meruncing,tidak diketahui,sutra,sutra,putih,putih,parsial,putih,satu,menghilang,putih,beberapa,daun
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
bisa dimakan,datar,bersisik,coklat,memar,tidak ada,bebas,rapat,lebar,merah,membesar,tidak diketahui,halus,halus,putih,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
bisa dimakan,datar,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,halus,abu-abu,merah muda,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,hutan
bisa dimakan,datar,berserat,merah,memar,tidak ada,bebas,rapat,lebar,coklat,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,beberapa,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,lonceng,bersisik,putih,memar,tidak ada,bebas,rapat,lebar,putih,membesar,berumbi,halus,halus,putih,putih,parsial,putih,dua,menjuntai,hijau,beberapa,padang rumput
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,bersisik,coklat,tidak,busuk,bebas,rapat,sempit,krem,meruncing,tidak diketahui,sutra,halus,merah muda,putih,parsial,putih,satu,menghilang,putih,beberapa,hutan
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,datar,bersisik,merah muda,memar,tidak ada,bebas,rapat,lebar,merah,membesar,tidak diketahui,halus,halus,merah,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,cembung,halus,putih,memar,busuk,bebas,rapat,lebar,coklat tua,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat tua,tersebar,rumput
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,halus,krem,memar,busuk,bebas,rapat,lebar,putih,meruncing,berumbi,berserat,halus,putih,putih,parsial,putih,satu,menjuntai,coklat tua,tersebar,perkotaan
beracun,cembung,berserat,abu-abu,tidak,kreosot,bebas,rapat,sempit,abu-abu,membesar,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,cembung,bersisik,hijau,tidak,tidak ada,bebas,rapat,sempit,merah muda,membesar,tidak diketahui,halus,berserat,putih,putih,parsial,putih,satu,melebar,coklat tua,soliter,hutan
bisa dimakan,datar,bersisik,putih,tidak,tidak ada,bebas,rapat,sempit,coklat tua,membesar,tidak diketahui,halus,berserat,putih,putih,parsial,putih,satu,melebar,coklat tua,beberapa,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,merah,tidak,amis,bebas,rapat,sempit,krem,meruncing,tidak diketahui,sutra,sutra,merah muda,putih,parsial,putih,satu,menghilang,putih,beberapa,jalan setapak
beracun,cembung,bersisik,merah,tidak,amis,bebas,rapat,sempit,krem,meruncing,tidak diketahui,sutra,sutra,merah muda,putih,parsial,putih,satu,menghilang,putih,beberapa,daun
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,datar,halus,merah,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,putih,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,halus,abu-abu,memar,busuk,bebas,rapat,lebar,merah muda,meruncing,berumbi,berserat,halus,putih,putih,parsial,putih,satu,menjuntai,coklat tua,tersebar,rumput
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,halus,abu-abu,memar,busuk,bebas,rapat,lebar,coklat tua,meruncing,berumbi,berserat,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,perkotaan
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,cembung,halus,putih,tidak,kreosot,bebas,rapat,sempit,coklat,membesar,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,hitam,beberapa,hutan
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,datar,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,ungu,meruncing,berumbi,halus,halus,merah muda,putih,parsial,putih,satu,menjuntai,coklat,soliter,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,bertonjol,halus,krem,memar,tidak ada,bebas,rapat,lebar,merah,membesar,tidak diketahui,halus,halus,putih,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,rumput
bisa dimakan,cembung,berserat,coklat,tidak,tidak ada,bebas,padat,sempit,putih,membesar,berumbi,halus,berserat,putih,coklat,parsial,putih,satu,menghilang,putih,beberapa,daun
bisa dimakan,cembung,bersisik,merah,memar,tidak ada,bebas,rapat,lebar,merah,membesar,tidak diketahui,halus,halus,merah,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,halus,abu-abu,memar,busuk,bebas,rapat,lebar,coklat tua,meruncing,berumbi,berserat,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,cembung,bersisik,coklat,tidak,pedas,bebas,rapat,sempit,krem,meruncing,tidak diketahui,halus,sutra,putih,putih,parsial,putih,satu,menghilang,putih,beberapa,jalan setapak
bisa dimakan,bertonjol,halus,krem,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,merah,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,beberapa,rumput
bisa dimakan,bertonjol,halus,merah muda,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,merah,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,datar,bersisik,coklat,tidak,tidak ada,bebas,rapat,sempit,putih,membesar,tidak diketahui,sutra,bersisik,putih,coklat,parsial,putih,satu,menghilang,putih,beberapa,hutan
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,halus,krem,memar,busuk,bebas,rapat,lebar,putih,meruncing,berumbi,berserat,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,perkotaan
bisa dimakan,datar,halus,krem,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,putih,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,datar,halus,putih,memar,busuk,bebas,rapat,lebar,putih,meruncing,berumbi,berserat,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,tersebar,perkotaan
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,halus,krem,memar,busuk,bebas,rapat,lebar,coklat tua,meruncing,berumbi,halus,halus,putih,putih,parsial,putih,satu,menjuntai,coklat tua,beberapa,perkotaan
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,cembung,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,datar,halus,abu-abu,memar,busuk,bebas,rapat,lebar,merah muda,meruncing,berumbi,halus,berserat,putih,putih,parsial,putih,satu,menjuntai,coklat tua,tersebar,perkotaan
bisa dimakan,datar,halus,krem,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,putih,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
bisa dimakan,cembung,halus,merah muda,memar,tidak ada,bebas,rapat,lebar,putih,membesar,tidak diketahui,halus,halus,merah,merah,parsial,putih,dua,menghilang,putih,bergerombol,limbah
bisa dimakan,bertonjol,halus,coklat,memar,tidak ada,bebas,rapat,lebar,merah,membesar,tidak diketahui,halus,halus,putih,putih,parsial,putih,dua,menghilang,putih,bergerombol,limbah
beracun,datar,bersisik,merah muda,memar,tidak ada,bebas,rapat,lebar,abu-abu,membesar,berumbi,halus,halus,putih,putih,parsial,putih,dua,menjuntai,hijau,beberapa,rumput
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,coklat,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,datar,berserat,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,soliter,rumput
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,merah muda,membesar,berumbi,sutra,sutra,merah muda,krem,parsial,putih,satu,besar,coklat tua,beberapa,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,coklat tua,membesar,berumbi,sutra,sutra,krem,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
beracun,datar,bersisik,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,merah muda,coklat,parsial,putih,satu,besar,coklat tua,beberapa,rumput
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,merah muda,parsial,putih,satu,besar,coklat tua,soliter,hutan
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,merah muda,parsial,putih,satu,besar,coklat tua,beberapa,jalan setapak
beracun,cembung,bersisik,kuning,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,coklat,coklat,parsial,putih,satu,besar,coklat tua,soliter,jalan setapak
bisa dimakan,datar,bersisik,ungu,tidak,tidak ada,bebas,rapat,sempit,putih,membesar,tidak diketahui,halus,berserat,putih,putih,parsial,putih,satu,melebar,coklat tua,soliter,hutan
beracun,datar,berserat,abu-abu,tidak,busuk,bebas,rapat,lebar,abu-abu,membesar,berumbi,sutra,sutra,krem,krem,parsial,putih,satu,besar,coklat tua,beberapa,rumput
